41807270,"[363.1666666666667, 6]"
171871486,"[374.25, 4]"
109428465,"[212.5, 2]"
100579655,"[327.1666666666667, 6]"
904350779,"[532.1666666666666, 6]"
96895570,"[295.6666666666667, 6]"
108843799,"[387.0, 2]"
155595655,"[298.8333333333333, 6]"
115917506,"[588.8333333333334, 6]"
172199571,"[438.6666666666667, 6]"
74883563,"[469.0, 4]"
110994660,"[282.8333333333333, 6]"
298148498,"[574.6666666666666, 6]"
185316487,"[522.1666666666666, 6]"
188649776,"[363.0, 6]"
92001890,"[382.75, 4]"
116198402,"[660.0, 2]"
