253953652,"[235.0, 4]"
87336063,"[362.22222222222223, 9]"
119941833,"[286.0, 9]"
118947899,"[291.25, 8]"
192389582,"[264.6666666666667, 3]"
57011991,"[313.1666666666667, 6]"
95813278,"[358.375, 8]"
5641567,"[308.625, 8]"
96634411,"[346.5, 10]"
123919855,"[334.3, 10]"
65495278,"[307.22222222222223, 9]"
136477138,"[383.3, 10]"
240889153,"[393.42857142857144, 7]"
175700232,"[387.0, 7]"
86179205,"[376.0, 8]"
95576973,"[352.44444444444446, 9]"
63813048,"[302.0, 2]"
83487685,"[231, 1]"
80718533,"[340.0, 7]"
58762087,"[291.6666666666667, 3]"
101989346,"[342.5, 2]"
159396223,"[267, 1]"
117329309,"[321.1666666666667, 6]"
152985237,"[243, 1]"
64041417,"[359, 1]"
121388910,"[389, 1]"
84473930,"[287.5, 2]"
166680429,"[360.5, 2]"
108050692,"[296.0, 2]"
241778294,"[376.5, 2]"
108686019,"[307, 1]"
100071079,"[410, 1]"
